rank,name,year,rating,genre,certificate,run_time,decade,runtime_bin
158,V for Vendetta,2005,8.2,"Action,Drama,Sci-Fi",R,132,2000,"(120.0, 150.0]"
159,Gone with the Wind,1939,8.2,"Drama,Romance,War",Not Rated,238,1930,"(180.0, inf]"
160,"Lock, Stock and Two Smoking Barrels",1998,8.2,"Action,Comedy,Crime",R,107,1990,"(90.0, 120.0]"
161,Inside Out,2015,8.2,"Animation,Adventure,Comedy",PG,95,2010,"(90.0, 120.0]"
162,Dial M for Murder,1954,8.2,"Crime,Thriller",PG,105,1950,"(90.0, 120.0]"
163,The Secret in Their Eyes,2009,8.2,"Drama,Mystery,Romance",R,129,2000,"(120.0, 150.0]"
164,Howl's Moving Castle,2004,8.2,"Animation,Adventure,Family",PG,119,2000,"(90.0, 120.0]"
165,"Three Billboards Outside Ebbing, Missouri",2017,8.1,"Comedy,Crime,Drama",R,115,2010,"(90.0, 120.0]"
166,The Bridge on the River Kwai,1957,8.2,"Adventure,Drama,War",PG,161,1950,"(150.0, 180.0]"
167,Trainspotting,1996,8.1,Drama,R,93,1990,"(90.0, 120.0]"
168,Prisoners,2013,8.1,"Crime,Drama,Mystery",R,153,2010,"(150.0, 180.0]"
169,Warrior,2011,8.2,"Action,Drama,Sport",PG-13,140,2010,"(120.0, 150.0]"
170,Fargo,1996,8.1,"Crime,Thriller",R,98,1990,"(90.0, 120.0]"
171,Gran Torino,2008,8.1,Drama,R,116,2000,"(90.0, 120.0]"
172,My Neighbor Totoro,1988,8.1,"Animation,Comedy,Family",G,86,1980,"(0.0, 90.0]"
173,Catch Me If You Can,2002,8.1,"Biography,Crime,Drama",PG-13,141,2000,"(120.0, 150.0]"
174,Million Dollar Baby,2004,8.1,"Drama,Sport",PG-13,132,2000,"(120.0, 150.0]"
175,Children of Heaven,1997,8.2,"Drama,Family,Sport",PG,89,1990,"(0.0, 90.0]"
176,Blade Runner,1982,8.1,"Action,Drama,Sci-Fi",R,117,1980,"(90.0, 120.0]"
177,The Gold Rush,1925,8.1,"Adventure,Comedy,Drama",Not Rated,95,1920,"(90.0, 120.0]"
178,Before Sunrise,1995,8.1,"Drama,Romance",R,101,1990,"(90.0, 120.0]"
179,12 Years a Slave,2013,8.1,"Biography,Drama,History",R,134,2010,"(120.0, 150.0]"
180,Klaus,2019,8.2,"Animation,Adventure,Comedy",PG,96,2010,"(90.0, 120.0]"
181,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,"Adventure,Family,Fantasy",PG-13,130,2010,"(120.0, 150.0]"
182,On the Waterfront,1954,8.1,"Crime,Drama,Thriller",Not Rated,108,1950,"(90.0, 120.0]"
183,Ben-Hur,1959,8.1,"Adventure,Drama",G,212,1950,"(180.0, inf]"
184,Gone Girl,2014,8.1,"Drama,Mystery,Thriller",R,149,2010,"(120.0, 150.0]"
185,The Grand Budapest Hotel,2014,8.1,"Adventure,Comedy,Crime",R,99,2010,"(90.0, 120.0]"
186,Wild Strawberries,1957,8.1,"Drama,Romance",Not Rated,91,1950,"(90.0, 120.0]"
187,The General,1926,8.1,"Action,Adventure,Comedy",Not Rated,67,1920,"(0.0, 90.0]"
188,The Third Man,1949,8.1,"Film-Noir,Mystery,Thriller",Not Rated,93,1940,"(90.0, 120.0]"
189,In the Name of the Father,1993,8.1,"Biography,Crime,Drama",R,133,1990,"(120.0, 150.0]"
190,The Deer Hunter,1978,8.1,"Drama,War",R,183,1970,"(180.0, inf]"
191,Barry Lyndon,1975,8.1,"Adventure,Drama,War",PG,185,1970,"(180.0, inf]"
192,Hacksaw Ridge,2016,8.1,"Biography,Drama,History",R,139,2010,"(120.0, 150.0]"
193,The Wages of Fear,1953,8.2,"Adventure,Drama,Thriller",Not Rated,131,1950,"(120.0, 150.0]"
194,Memories of Murder,2003,8.1,"Crime,Drama,Mystery",Not Rated,132,2000,"(120.0, 150.0]"
195,Sherlock Jr.,1924,8.2,"Action,Comedy,Romance",Not Rated,45,1920,"(0.0, 90.0]"
196,Wild Tales,2014,8.1,"Comedy,Drama,Thriller",R,122,2010,"(120.0, 150.0]"
197,Mr. Smith Goes to Washington,1939,8.1,"Comedy,Drama",Not Rated,129,1930,"(120.0, 150.0]"
198,Mad Max: Fury Road,2015,8.1,"Action,Adventure,Sci-Fi",R,120,2010,"(90.0, 120.0]"
199,The Seventh Seal,1957,8.1,"Drama,Fantasy",Not Rated,96,1950,"(90.0, 120.0]"
200,Mary and Max,2009,8.1,"Animation,Comedy,Drama",Not Rated,92,2000,"(90.0, 120.0]"
201,How to Train Your Dragon,2010,8.1,"Animation,Action,Adventure",PG,98,2010,"(90.0, 120.0]"
202,Room,2015,8.1,"Drama,Thriller",R,118,2010,"(90.0, 120.0]"
203,"Monsters, Inc.",2001,8.1,"Animation,Adventure,Comedy",G,92,2000,"(90.0, 120.0]"
204,Jaws,1975,8.1,"Adventure,Thriller",PG,124,1970,"(120.0, 150.0]"
205,Dead Poets Society,1989,8.1,"Comedy,Drama",PG,128,1980,"(120.0, 150.0]"
206,The Big Lebowski,1998,8.1,"Comedy,Crime",R,117,1990,"(90.0, 120.0]"
207,Tokyo Story,1953,8.2,Drama,Not Rated,136,1950,"(120.0, 150.0]"
208,The Passion of Joan of Arc,1928,8.2,"Biography,Drama,History",Not Rated,114,1920,"(90.0, 120.0]"
209,Hotel Rwanda,2004,8.1,"Biography,Drama,History",PG-13,121,2000,"(120.0, 150.0]"
210,Ford v Ferrari,2019,8.1,"Action,Biography,Drama",PG-13,152,2010,"(150.0, 180.0]"
